 1, 'T920920_N00001', 'M20218014', '2021-06-08 12:00:00', 1
 2, 'T920920_N00001', 'M20218014', '2021-06-08 14:20:00', 2
 3, 'T920920_N00001', 'M20218014', '2021-06-08 16:40:00', 3
 4, 'T920920_N00001', 'M20216362', '2021-06-08 19:00:00', 4
 5, 'T920920_N00001', 'M20216362', '2021-06-08 21:20:00', 5
 6, 'T920920_X00001', 'M20217736', '2021-06-08 13:00:00', 1
 7, 'T920920_X00001', 'M20217736', '2021-06-08 16:30:00', 2
 8, 'T920920_X00001', 'M20219200', '2021-06-08 20:00:00', 3
 9, 'T920920_I00001', 'M20217736', '2021-06-08 18:30:00', 1
10, 'T920920_I00001', 'M20219200', '2021-06-08 21:30:00', 2
11, 'T001016_X00001', 'M20219200', '2021-06-08 10:00:00', 1
12, 'T001016_X00001', 'M20219200', '2021-06-08 12:30:00', 2
13, 'T001016_X00001', 'M20219200', '2021-06-08 15:00:00', 3
14, 'T001016_X00001', 'M20219200', '2021-06-08 17:30:00', 4
15, 'T001016_I00001', 'M20218014', '2021-06-08 09:10:00', 1
16, 'T001016_I00001', 'M20218014', '2021-06-08 12:10:00', 2
17, 'T001016_I00001', 'M20217736', '2021-06-08 15:10:00', 3
18, 'T001016_I00001', 'M20217736', '2021-06-08 18:10:00', 4
19, 'T001194_N00001', 'M20216362', '2021-06-08 10:15:00', 1
20, 'T001194_N00001', 'M20216362', '2021-06-08 14:45:00', 2
21, 'T001194_N00001', 'M20216362', '2021-06-08 19:15:00', 3
22, 'T001194_X00001', 'M20217736', '2021-06-08 11:20:00', 1
23, 'T001194_X00001', 'M20217736', '2021-06-08 15:15:00', 2
24, 'T001194_X00001', 'M20217736', '2021-06-08 19:10:00', 3
25, 'T003046_N00001', 'M20218014', '2021-06-08 16:40:00', 1
26, 'T003046_N00001', 'M20218014', '2021-06-08 19:00:00', 2
27, 'T003046_N00001', 'M20218014', '2021-06-08 21:20:00', 3
28, 'T003046_I00001', 'M20216362', '2021-06-08 10:00:00', 1
29, 'T003046_I00001', 'M20216362', '2021-06-08 12:35:00', 2
30, 'T003046_I00001', 'M20216362', '2021-06-08 15:10:00', 3
31, 'T003046_I00001', 'M20216362', '2021-06-08 18:45:00', 4
