'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45
'T920920_N00001', 'prime', 'AVAILABLE', 45

'T920920_X00001', 'prime', 'AVAILABLE', 20
'T920920_I00001', 'prime', 'AVAILABLE', 20
'T001016_X00001', 'prime', 'AVAILABLE', 20
'T001016_I00001', 'prime', 'AVAILABLE', 20
'T001194_N00001', 'prime', 'AVAILABLE', 40
'T001194_X00001', 'prime', 'AVAILABLE', 20
'T003046_N00001', 'prime', 'AVAILABLE', 40
'T003046_I00001', 'prime', 'AVAILABLE', 20
